dormitorios,baños,pies_cuadrados_vivienda,pisos,pies_cuadrados_sin_sotano,pies_cuadrados_sótano,pies_cuadrados_vivienda_15,precio,estado,frente_al_mar,vista,código_postal
3,1.0,1180,1.0,1180,0,1340,221900,3,0,0,98178
3,2.25,2570,2.0,2170,400,1690,538000,3,0,0,98125
2,1.0,770,1.0,770,0,2720,180000,3,0,0,98028
4,3.0,1960,1.0,1050,910,1360,604000,5,0,0,98136
3,2.0,1680,1.0,1680,0,1800,510000,3,0,0,98074
3,2.25,1715,2.0,1715,0,2238,257500,3,0,0,98003
3,1.5,1060,1.0,1060,0,1650,291850,3,0,0,98198
3,1.0,1780,1.0,1050,730,1780,229500,3,0,0,98146
3,2.5,1890,2.0,1890,0,2390,323000,3,0,0,98038
3,2.5,3560,1.0,1860,1700,2210,662500,3,0,0,98007
2,1.0,1160,1.0,860,300,1330,468000,4,0,0,98115
3,1.0,1430,1.5,1430,0,1780,310000,4,0,0,98028
3,1.75,1370,1.0,1370,0,1370,400000,4,0,0,98074
5,2.0,1810,1.5,1810,0,1360,530000,3,0,0,98107
4,3.0,2950,2.0,1980,970,2140,650000,3,0,3,98126
3,2.0,1890,2.0,1890,0,1890,395000,3,0,0,98019
4,1.0,1600,1.5,1600,0,1610,485000,4,0,0,98103
2,1.0,1200,1.0,1200,0,1060,189000,4,0,0,98002
3,1.0,1250,1.0,1250,0,1280,230000,4,0,0,98003
4,1.75,1620,1.0,860,760,1400,385000,4,0,0,98133
5,2.5,2270,2.0,2270,0,2240,285000,3,0,0,98092
2,1.5,1070,1.0,1070,0,1220,252700,3,0,0,98030
3,2.25,2450,2.0,2450,0,2200,329000,4,0,0,98030
3,2.0,1710,1.5,1710,0,1030,233000,5,0,0,98002
3,1.75,2450,2.0,1750,700,1760,937000,3,0,0,98119
3,1.0,1400,1.5,1400,0,1860,667000,5,0,0,98112
3,1.75,1520,1.0,790,730,1520,438000,3,0,0,98115
4,2.5,2570,2.0,2570,0,2630,719000,3,0,0,98052
3,2.5,2320,2.0,2320,0,2580,580500,3,0,0,98027
2,1.5,1190,3.0,1190,0,1390,280000,3,0,0,98133
4,1.75,2330,1.5,1510,820,1460,687500,4,0,0,98117
3,1.0,1090,1.5,1090,0,1570,535000,4,0,0,98117
4,2.75,2060,1.0,1280,780,2020,322500,3,0,0,98058
3,2.5,2300,1.5,1510,790,1590,696000,3,0,0,98115
4,1.0,1660,1.0,930,730,2160,550000,1,0,0,98052
